    0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19 

00: 1   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   0   0   0 
01: 1   1   0   1   1   0   0   1   1   1   0   1   1   0   0   0   0   0   0   0 
02: 1   1   0   1   1   0   0   0   1   1   0   1   1   0   0   0   0   0   0   0 
03: 1   1   1   1   1   0   0   1   1   1   0   1   1   0   0   0   0   0   0   1 
04: 0   1   0   1   1   0   0   0   1   0   0   1   1   0   0   0   0   0   0   0 
05: 1   1   1   1   1   0   0   1   1   1   0   1   1   0   0   0   0   0   0   0 
06: 1   1   1   1   1   0   1   1   1   1   1   1   1   1   1   1   1   1   1   1 
07: 1   1   1   1   1   0   0   1   1   1   1   1   1   0   0   0   0   0   0   1 
08: 1   1   1   1   1   0   0   1   1   1   1   1   1   1   0   0   1   1   0   1 
09: 0   0   0   0   1   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0 
10: 1   1   1   1   1   0   0   1   1   1   1   1   1   1   0   1   1   1   0   1 
11: 0   1   0   0   1   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0 
12: 1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 
13: 1   1   1   1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   1   1 
14: 1   1   1   1   1   0   0   1   1   1   1   1   1   0   0   0   1   0   0   1 
15: 0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0 
16: 1   1   1   1   1   0   0   1   1   1   1   1   1   1   1   1   1   1   0   1 
17: 1   1   1   1   1   0   0   1   1   1   1   1   1   0   0   0   1   1   0   1 
18: 0   1   0   1   1   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0 
19: 0   0   0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0   0   0 



